Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,No,1,Graduate,Yes,7437,1733,146,180,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,4573,2453,74,180,1.0,Semiurban,1
Male,No,1,Not Graduate,No,7981,1787,132,360,1.0,Semiurban,1
Female,Yes,2,Graduate,No,5297,887,194,240,0.0,Urban,1
Female,No,2,Graduate,No,4325,1861,178,120,1.0,Rural,1
Female,No,3+,Graduate,No,3773,356,175,300,1.0,Rural,1
Female,Yes,1,Not Graduate,No,4395,1608,152,240,1.0,Urban,1
Male,No,2,Not Graduate,No,4223,1466,150,240,1.0,Urban,1
Female,Yes,0,Not Graduate,No,5340,1291,116,180,1.0,Rural,1
Female,No,3+,Graduate,Yes,5321,1371,184,300,1.0,Semiurban,1
Male,No,0,Not Graduate,No,5006,0,171,360,0.0,Semiurban,1
Female,Yes,1,Not Graduate,Yes,5873,951,174,240,1.0,Rural,1
Male,Yes,1,Graduate,No,7381,1592,123,360,1.0,Semiurban,1
Female,Yes,1,Not Graduate,No,6899,1659,50,240,0.0,Urban,1
Female,No,3+,Not Graduate,Yes,2030,472,204,360,1.0,Semiurban,0
Female,Yes,2,Graduate,No,1500,2765,126,300,1.0,Semiurban,1
Male,No,3+,Graduate,No,6868,633,106,180,1.0,Semiurban,1
Male,No,0,Graduate,Yes,2266,2469,184,300,1.0,Rural,1
Female,Yes,3+,Not Graduate,No,4550,1927,130,120,1.0,Urban,1
Male,Yes,0,Not Graduate,No,2659,853,202,180,1.0,Semiurban,0
Male,No,3+,Not Graduate,No,1500,3275,180,300,1.0,Rural,1
Male,No,2,Graduate,Yes,6082,306,184,120,1.0,Semiurban,1
Male,Yes,0,Graduate,No,6518,2419,81,240,0.0,Urban,1
Male,Yes,1,Not Graduate,No,3846,2500,210,240,1.0,Semiurban,0
Male,Yes,1,Not Graduate,No,1500,829,163,360,1.0,Urban,1
Female,Yes,3+,Graduate,No,3907,2892,131,180,1.0,Semiurban,1
Female,Yes,1,Graduate,Yes,5783,1249,157,240,1.0,Urban,1
Male,No,0,Graduate,Yes,2042,1788,61,180,1.0,Semiurban,1
Female,No,1,Graduate,No,5366,1760,170,240,0.0,Urban,1
Female,No,2,Not Graduate,No,4969,1365,98,360,0.0,Semiurban,1
Female,No,2,Graduate,Yes,6158,2310,82,300,1.0,Semiurban,1
Female,Yes,3+,Not Graduate,Yes,5239,2293,73,360,1.0,Rural,1
Male,Yes,0,Not Graduate,No,3053,0,205,120,1.0,Rural,0
Female,Yes,2,Not Graduate,Yes,7393,2804,118,240,1.0,Urban,1
Female,No,2,Graduate,No,4682,0,226,120,1.0,Semiurban,1
Male,No,0,Graduate,Yes,4945,2532,123,120,0.0,Urban,1
Male,Yes,1,Graduate,Yes,3133,2626,64,180,1.0,Rural,1
Female,Yes,1,Graduate,Yes,4113,409,94,240,1.0,Urban,1
Female,No,3+,Not Graduate,Yes,3230,1089,211,120,1.0,Urban,0
Female,No,1,Graduate,No,4654,394,142,300,0.0,Rural,1
Female,Yes,0,Graduate,Yes,8423,1285,122,120,1.0,Semiurban,1
Female,Yes,2,Not Graduate,Yes,2256,1191,158,300,0.0,Urban,0
Female,No,1,Graduate,No,1772,2279,175,180,1.0,Rural,1
Male,Yes,3+,Not Graduate,Yes,7942,2810,205,120,1.0,Semiurban,1
Female,Yes,1,Not Graduate,Yes,4581,2895,222,360,1.0,Rural,1
Female,Yes,0,Not Graduate,No,3661,937,132,180,1.0,Urban,1
Male,No,3+,Not Graduate,Yes,7079,1290,83,300,1.0,Semiurban,1
Male,No,1,Not Graduate,No,3788,0,129,180,1.0,Semiurban,1
Male,No,3+,Not Graduate,No,8652,694,163,120,1.0,Rural,1
Male,No,0,Not Graduate,No,6355,2464,101,240,1.0,Rural,1
Female,No,2,Not Graduate,No,4024,3115,102,240,1.0,Rural,1
Female,No,0,Graduate,Yes,9314,265,167,300,1.0,Semiurban,1
Female,No,0,Graduate,No,3788,907,147,300,1.0,Semiurban,1
Female,Yes,0,Graduate,Yes,6484,1473,151,240,1.0,Urban,1
Female,Yes,0,Graduate,Yes,5598,1780,112,300,1.0,Semiurban,1
Female,Yes,2,Not Graduate,Yes,7603,690,138,180,1.0,Urban,1
Male,Yes,2,Graduate,Yes,8123,1924,103,360,1.0,Rural,1
Female,Yes,3+,Not Graduate,Yes,5064,1026,194,360,1.0,Rural,1
Male,Yes,1,Graduate,Yes,3493,1485,201,180,1.0,Semiurban,0
Male,Yes,2,Graduate,Yes,5919,2046,57,360,1.0,Rural,1
Female,No,2,Graduate,Yes,3644,1506,103,120,1.0,Rural,1
Male,No,1,Not Graduate,Yes,9026,1063,75,180,1.0,Semiurban,1
Female,Yes,2,Graduate,Yes,5273,1390,117,300,1.0,Urban,1
Male,Yes,0,Not Graduate,No,4269,1411,145,180,1.0,Semiurban,1
Female,No,0,Not Graduate,No,5369,1129,77,240,1.0,Urban,1
Male,Yes,1,Graduate,No,2305,1241,103,300,1.0,Semiurban,1
Female,Yes,3+,Graduate,Yes,3056,3098,99,240,1.0,Semiurban,1
Female,No,3+,Graduate,No,7400,2060,160,300,1.0,Rural,1
Female,Yes,1,Not Graduate,No,3686,1204,153,360,1.0,Semiurban,1
Female,No,1,Graduate,No,2906,2196,113,180,1.0,Semiurban,1
Female,Yes,0,Not Graduate,Yes,6073,1166,158,120,1.0,Urban,1
Male,No,3+,Not Graduate,Yes,7371,2673,122,300,0.0,Rural,1
Male,No,2,Graduate,Yes,6437,1869,136,300,1.0,Urban,1
Male,No,0,Graduate,Yes,6992,1392,233,240,1.0,Urban,1
Female,Yes,1,Not Graduate,No,3486,1947,217,360,1.0,Rural,0
Male,No,3+,Not Graduate,No,2156,0,85,240,1.0,Rural,1
Female,Yes,2,Not Graduate,No,8002,373,191,240,1.0,Rural,1
Female,Yes,2,Graduate,No,4354,306,190,360,1.0,Semiurban,1
Male,Yes,0,Not Graduate,Yes,4498,1642,92,120,1.0,Rural,1
Male,Yes,3+,Graduate,Yes,7656,3232,190,240,1.0,Rural,1
Female,No,3+,Not Graduate,Yes,6112,3731,226,240,0.0,Rural,0
Male,No,1,Not Graduate,No,5911,2138,93,300,1.0,Urban,1
Female,Yes,3+,Graduate,Yes,9330,2000,104,360,1.0,Urban,1
Female,Yes,3+,Not Graduate,Yes,3712,0,200,180,1.0,Semiurban,0
Female,No,0,Graduate,No,6855,957,163,120,1.0,Urban,1
Female,Yes,3+,Graduate,No,5114,712,177,120,1.0,Semiurban,1
Female,No,2,Not Graduate,Yes,5537,879,167,360,1.0,Urban,1
Male,Yes,0,Graduate,Yes,8056,1331,169,300,0.0,Rural,1
Male,Yes,0,Graduate,Yes,6015,1027,83,300,1.0,Urban,1
Female,No,1,Not Graduate,Yes,6076,0,202,360,1.0,Semiurban,1
Female,Yes,3+,Graduate,Yes,7145,2247,208,300,0.0,Urban,0
Male,No,1,Graduate,Yes,4270,427,138,120,1.0,Rural,1
Male,Yes,2,Graduate,No,3321,1739,147,120,0.0,Semiurban,0
Female,Yes,0,Not Graduate,No,2910,3574,73,180,1.0,Rural,1
Male,Yes,0,Graduate,No,1500,580,175,360,1.0,Rural,1
Female,No,0,Not Graduate,Yes,9112,0,178,240,1.0,Semiurban,1
Male,Yes,2,Not Graduate,No,2793,1213,146,240,1.0,Rural,1
Female,Yes,2,Graduate,Yes,4557,2600,206,180,1.0,Rural,1
Male,Yes,1,Graduate,Yes,4446,3458,133,180,1.0,Urban,1
Female,Yes,1,Graduate,No,5614,270,178,300,0.0,Rural,1
Male,No,1,Not Graduate,Yes,6631,1996,99,180,1.0,Rural,1
Male,No,3+,Graduate,Yes,6720,1034,148,180,1.0,Rural,1
Female,Yes,0,Graduate,No,3833,1394,141,240,1.0,Rural,1
Male,No,0,Graduate,No,4665,4144,161,300,1.0,Semiurban,1
Female,Yes,1,Graduate,No,5565,0,131,180,1.0,Urban,1
Male,Yes,0,Graduate,Yes,4502,1753,143,180,1.0,Rural,1
Female,Yes,1,Not Graduate,No,8214,1967,191,300,1.0,Rural,1
Male,No,3+,Not Graduate,No,5981,2585,128,360,1.0,Semiurban,1
Female,No,3+,Graduate,Yes,6469,1597,69,300,1.0,Rural,1
Male,No,2,Graduate,No,6325,1808,237,240,0.0,Semiurban,0
Female,No,3+,Graduate,No,7346,1108,219,360,1.0,Urban,1
Male,No,1,Graduate,No,5362,1769,85,120,1.0,Urban,1
Female,No,3+,Not Graduate,Yes,2406,1156,184,300,1.0,Rural,1
Female,No,2,Graduate,Yes,5799,2121,124,240,1.0,Rural,1
Female,No,0,Not Graduate,Yes,3697,1130,163,360,1.0,Rural,1
Male,No,1,Not Graduate,Yes,3942,1877,164,300,1.0,Semiurban,1
Female,Yes,0,Graduate,No,6172,1470,138,180,1.0,Rural,1
Male,No,2,Not Graduate,Yes,7476,2626,110,300,1.0,Rural,1
Female,No,2,Not Graduate,Yes,5042,1448,115,120,1.0,Urban,1
Male,No,2,Not Graduate,No,5617,0,104,300,0.0,Rural,1
Female,No,0,Not Graduate,No,8404,2761,108,360,1.0,Urban,1
Male,No,0,Graduate,No,5481,594,146,360,1.0,Rural,1
Male,No,0,Graduate,Yes,10203,846,114,300,1.0,Urban,1
Female,No,0,Not Graduate,Yes,6131,904,184,360,1.0,Rural,1
Male,No,2,Graduate,Yes,1500,2874,224,180,1.0,Urban,0
Male,No,2,Graduate,No,6506,0,120,300,1.0,Semiurban,1
Female,No,1,Graduate,No,5762,4637,161,180,1.0,Urban,1
Male,No,1,Graduate,Yes,7579,2556,174,180,1.0,Urban,1
Male,Yes,0,Graduate,No,6346,1723,173,240,1.0,Urban,1
Male,Yes,3+,Not Graduate,No,4723,1445,153,300,1.0,Rural,1
Female,No,3+,Graduate,No,2551,1785,187,360,1.0,Rural,1
Male,No,2,Graduate,Yes,4581,2021,174,180,1.0,Rural,1
Female,Yes,2,Graduate,No,3298,2145,88,240,1.0,Semiurban,1
